"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"/Users/waclaw/Projects/NetCoffee shop/backend/package.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/waclaw/Projects/NetCoffee shop/backend/server.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 8, 25
"/Users/waclaw/Projects/NetCoffee shop/backend/src/config/db.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/waclaw/Projects/NetCoffee shop/backend/src/config/multer.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/waclaw/Projects/NetCoffee shop/backend/src/controllers/auth.controller.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 11, 60
"/Users/waclaw/Projects/NetCoffee shop/backend/src/controllers/product.controller.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/waclaw/Projects/NetCoffee shop/backend/src/controllers/static.controller.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 1, 8, 30
"/Users/waclaw/Projects/NetCoffee shop/backend/src/database/queries.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/waclaw/Projects/NetCoffee shop/backend/src/dto/product.dto.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/waclaw/Projects/NetCoffee shop/backend/src/middlewares/admin.middleware.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/waclaw/Projects/NetCoffee shop/backend/src/middlewares/auth.middleware.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/waclaw/Projects/NetCoffee shop/backend/src/repositories/product.repository.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 1, 8, 50
"/Users/waclaw/Projects/NetCoffee shop/backend/src/repositories/static.repository.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
